entity_id,views,list_views,searches,cart_adds,cart_updates,checkouts,orders,reviews,chat_messages,buy_score_heuristic,top_category,has_order,behavior_label,label_confidence,event_count,first_event_at,last_event_at
bench-loyal_customer-005,1,0,0,1,0,1,2,1,0,30,mobile,1,loyal_customer,0.9,6,2026-04-13T09:48:33.256248+00:00,2026-04-18T09:42:34.256248+00:00
bench-impulse_buyer-037,1,1,0,1,0,1,1,0,0,20,mobile,1,impulse_buyer,0.82,5,2026-04-13T09:51:33.256248+00:00,2026-04-19T09:13:36.256248+00:00
bench-researcher-003,2,1,2,0,0,0,0,0,1,11,mobile,0,researcher,0.58,6,2026-04-13T10:07:32.256248+00:00,2026-04-17T15:14:34.256248+00:00
bench-window_shopper-058,2,1,0,0,0,0,0,0,0,6,computer,0,impulse_buyer,0.52,4,2026-04-13T10:10:34.256248+00:00,2026-04-19T01:59:33.256248+00:00
bench-loyal_customer-016,1,0,0,1,0,1,2,1,0,30,mobile,1,loyal_customer,0.9,6,2026-04-13T10:21:32.256248+00:00,2026-04-18T17:31:36.256248+00:00
bench-impulse_buyer-059,1,1,0,1,0,1,1,0,0,20,clothes,1,impulse_buyer,0.82,5,2026-04-13T10:23:33.256248+00:00,2026-04-17T06:42:36.256248+00:00
bench-researcher-030,2,1,2,0,0,0,0,0,1,11,mobile,0,researcher,0.58,6,2026-04-13T10:27:34.256248+00:00,2026-04-17T04:13:31.256248+00:00
bench-loyal_customer-022,1,0,0,1,0,1,2,1,0,30,clothes,1,loyal_customer,0.9,6,2026-04-13T10:45:35.256248+00:00,2026-04-18T04:07:32.256248+00:00
bench-loyal_customer-054,1,0,0,1,0,1,2,1,0,30,mobile,1,loyal_customer,0.9,6,2026-04-13T10:46:36.256248+00:00,2026-04-16T17:18:35.256248+00:00
bench-price_sensitive-042,1,0,2,1,1,0,0,0,0,12,mobile,0,researcher,0.58,6,2026-04-13T10:47:35.256248+00:00,2026-04-19T19:28:34.256248+00:00
bench-loyal_customer-003,1,0,0,1,0,1,2,1,0,30,clothes,1,loyal_customer,0.9,6,2026-04-13T10:54:34.256248+00:00,2026-04-19T08:30:35.256248+00:00
bench-price_sensitive-013,1,0,2,1,1,0,0,0,0,12,clothes,0,researcher,0.58,6,2026-04-13T11:06:36.256248+00:00,2026-04-20T00:22:33.256248+00:00
bench-price_sensitive-032,1,0,2,1,1,0,0,0,0,12,computer,0,researcher,0.58,6,2026-04-13T11:14:32.256248+00:00,2026-04-19T19:16:33.256248+00:00
bench-researcher-049,2,1,2,0,0,0,0,0,1,11,mobile,0,researcher,0.58,6,2026-04-13T11:27:33.256248+00:00,2026-04-19T18:52:32.256248+00:00
